id;question;correct_answer

1000000001;4,3,2,?|4,-,2,1;1
1000000002;2,4,6,-|4,?,12,16;8
1000000003;1,?,5,7,-|-,6,-,-,18;3
1000000004;-,-,8,4,?|64,32,-,-,4;2
1000000005;2,3,?,-,13|-,-,5,8,13;5
1000000006;3,6,9,12|9,?,-,36;18
1000000007;25,16,9,4|-,4,?,2;3
1000000008;3,7,?,-|4,8,16,32;15
1000000009;7,12,22,-,82|4,9,19,?,-;39
1000000010;13,14,16,?,28|1,-,4,8,-;20
1000000011;3,7,16,35,?|1,2,3,-,5;74
1000000012;11,14,-,?|33,42,60,87;29
1000000013;3,6,5,8,7,-|7,11,11,15,15,?;19
1000000014;?,5,7,12,-|3,-,8,13,20;2
1000000015;4,5,8,10,?,20|10,8,20,16,40,-;16
1000000016;3,7,5,?,7,11|-,4,2,4,2,-;9
1000000017;5,10,7,12,-|10,30,?,60,54;28
1000000018;6,13,20,-,34|?,24,37,-,63;11
1000000019;0,5,3,13,11,?|5,-,10,2,20,-;31
1000000020;13,?,22,31,53|78,45,-,93,-;9
