id;image_url;option_image_urls;correct_answers

1000000001;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000001.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small;5,4
1000000002;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000002.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small;3,4
1000000003;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000003.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small;1,3
1000000004;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000004.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small;3,6
1000000005;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000005.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small;4,5
1000000006;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000006.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small;5,6
1000000007;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000007.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small;3,5
1000000008;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000008.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small;1,1
1000000009;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000009.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png;2,7
1000000010;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000010.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png;6,7
1000000011;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000011.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png;2,4
1000000012;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000012.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/left-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-double-borders.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png;1,9
1000000013;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000013.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png;8,9
1000000014;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000014.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png;9,1
1000000015;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000015.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png;4,5
1000000016;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000016.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png;7,8
1000000017;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000017.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png;2,10
1000000018;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000018.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png;7,1
1000000019;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000019.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png;6,2
1000000020;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000020.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png;7,7
1000000021;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000021.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-plus.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-plus.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-plus.png;8,3
1000000022;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000022.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-plus.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-plus.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-plus.png;1,3
1000000023;https://static.psychology.ml/barrett-test/sequential-reasoning/question/1000000023.png;https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-filled.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-plus.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/triangle-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-plus-small.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/circle-plus.png,https://static.psychology.ml/barrett-test/sequential-reasoning/option/square-plus.png;11,1
