id;context

1000000001;علی نسبت به رضا در قسمت بالاتری از یک تپه زندگی می کند، حمید هم در قسمتی بالاتر ازعلی زندگی می کند.
1000000002;همه دخترها به ورزش علاقه مندند. زهرا و فاطمه تنیس را دوست دارند، درحالیکه زینب و مریم دوندگی را دوست دارند، از طرفی هم زهرا و هم مریم شنا را نیز دوست دارند.
1000000003;آقای احمدی و آقای حسینی تعطیلات طولانی تری نسبت به آقای محمدی دارند. آقای بهرامی تعطیلات کوتاه تری نسبت به آقای محمدی دارد، در حالیکه آقای رحمانی تعطیلات طولانی تری نسبت به آقای محمدی دارد.
1000000004;رضا و محمود و محمد هر سه برای تعطیلات به سواحل دریا رفتند، درحالیکه احمد ، محمود و پیمان به کوهنوردی رفتند. محمد، سامان و احمد با هواپیما رفتند، احمد، محمود و پیمانهم از تعطیلات خود لذت نمی برند.
1000000005;از آخر به اول محبوب ترین تورهای گردشگری یک آژانس خدمات مسافرتی عبارتند از تهران،مشهد، شیراز واصفهان، درحالیکه شیراز در هر زمانی از سال برای گردشگری بسیار محبوب است. بعد از یک تلاش بازاریابی موفق برای گردشگری، تهران از شیراز محبوب تر می شود اما محبوبیتش ازمشهد کمتر می شود.
1000000006;فریدون، احمد، فرهاد و فرزاد همگی فرزند دارند. فریدون و احمد تنها دو نفری هستند که پسر دارند. احمد و فرزاد فرزندان شان را با اتوبوس به مدرسه می برند درحالی که مسافت خانه تا مدرسه برای بقیه این افراد آنقدر کوتاه است که می توانند پیاده هم فرزندانشان را به مدرسه برسانند. فریدون و فرزاد ماشین دارند و گاهی برای رساندن فرزندان شان به مدرسه از ماشین شان استفاده می کنند.
1000000007;در یک موزه، آثار تجسمی مدرن در طبقه زیرین آثار نقاشی آبرنگ قرار گرفته است. آثار سفالگری یونانی در طبقه بالایی آثار رنگ روغن قرار گرفته اند. بالاترین طبقه موزه هم دربردارنده آثار هنری ایتالیایی است. آثار نقاشی آبرنگ در همان طبقه آثار هنری چینی واقع شده اند درحالی که آثار نقاشی رنگ روغن در طبقه زیرین آثار تجسمی مدرن واقع شده اند.
1000000008;نرگس، آوا ، نسترن، فرزانه و کیمیا هر کدام یک وسیله نقلیه می خرند. وسایل نقلیه  نرگس و کیمیا علاوه بر خودشان ظرفیت سه سرنشین دیگر را دارد. وسایل  نقلیه دیگران، علاوه بر خودشان تنها برای یک سرنشین دیگر ظرفیت دارد. تایرهای نسترن و نرگساز کیفیت خوب و مقاومی برخوردارند درحالی که تایر وسایل نقلیه دیگر بی کیفیت و خطرناک می باشد. وسائل نقلیه نرگس وفرزانه از سوخت گازوئیل استفاده می کنند. اما وسایل نقلیه دیگران از بنزین استفاده می کنند.
1000000009;خانم انصاری از آنجا که هر یک از 4 فرزندش غذاهای معینی می خورند، کمی با مشکل روبرو شده است. شادی و امیدگوشت قرمز و برنج می خورند.کیمیا و شادی تنها فرزندانی هستند که هم نان و هم پنیر می خورند.کیمیا و سامان نیز هر دو نان و گوشت مرغ می خورند.
1000000010;ماشین های آقای رحیمی و آقای رفیعی هر دو مشکی هستند. بقیه ماشین قرمز دارند. در دو طرف ماشین آقای رفیعی و خانم احمدی نوار سفید رنگی وجود دارد. ماشین خانم حسینی یک نوار آبی در دو طرفش دارد. ماشین های آقای موسوی و آقای رحیمی هم نوار های نقره ای در دو طرف خود دارند. ماشین خانم حسینی و آقای موسوی روکش آبی دارند در حالیکه روکش ماشین بقیه سفید است.
1000000011;در یک مسابقه بسکتبال تیم ژاپن در مقابل تیم چین شکست می خورد. ترکیه هم ژاپن را شکست می دهد و در مقابل چین و همچنین عراق شکست می خورد. ژاپن و چین هم در مقابل تیم عراق شکست میخورند.
1000000012;در توقفی که دانش اموزان سر راه مدرسه شان در یک فروشگاه دارند، وحید وسعید تنها کسانی هستند که شکلات نمی خرند، از 5 دانش اموز 4 نفر انها از جمله لورا بستنی می خرند. از آن طرف سهیل، وحید و مجیدآبنبات نمی خرند. در واقع وحید فقط آدامس میوه ای میخرد چرا که دیگر انواع خوراکی های شیرین را دوست ندارد.
1000000013;لباس های مریم، مرجان و مائده شامل ژاکت، کت یا دامن به رنگ آبی، سبز یا قرمز است. هیچ یک از لباس ها از نظر رنگ با یک دیگر یکسان نیستند یعنی اگر ژاکت یکی از این سه نفر آبی است، ژاکت های آن دو نفر دیگر آبی نیست، یا اگر دامن یک نفرشان سبز است، دامن هیچ کدام دیگر سبز نیست. کت مائده سبز نیست، ژاکت مرجان و دامن مریم همرنگ هستند. دامن مائده قرمز است. ژاکت مائده، دامن مرجان و کت مریم هر سه همرنگ هستند.
